District ;Street ;Building;Pharmacy_name ;Enterpreneur_name;Phone_number_1;Phone number 2;Phone number 3;Phone number 4;Cellphone_number_1;Cellphone_number_2;Hours_of_work_(weekdays);Hours_of_work_(Saturday) ;Hours_of_work_(Sunday);E-mail_1;E-mail_2
Галицький;Шевченка Т. просп.;16;«Сімейна аптека»;ПП «Аптека Аронія» ;0322324621;;;;;;08:00-22:00;08:00-22:00;09:00-22:00;apt62@sa.lviv.ua;
Галицький;Шевченка Т. просп.;22;Аптека D.S.;ТзОВ «Маркет Універсал ЛТД»;0322612038;;;;;;08:00-21:30;09:00-21:00;10:00-20:00;;
Галицький;Франка І.;22;Фіто-аптека Зубицьких;ПП Макух Х.І.;0322602180;;;;;;10:00-19:00;10:00-14:00;вихідний;;
Галицький;Франка І.;26;Аптека D.S.;ТзОВ «Маркет Універсал ЛТД»;0322439393;;;;;;08:00-21:30;09:00-21:00;10:00-20:00;;
Галицький;Фредра О.;2;Аптека № 2;Державна комунальна аптека;0322616346;;;;;;08:00-21:00;08:00-21:00;вихідний;;
Галицький;Грушевського М.;3;Аптека  ;ФОП Калиняк;0322616539;;;;;;08:00-22:00;08:00-21:00;вихідний;;
Галицький;Соборна пл. ;12а;Аптека  «Біомед»;ТзОВ «НДК ПМ Ангеліка»;0322426189;;;;;;цілодобово;цілодобово;цілодобово;;
Галицький;Франка І.;41;Аптека «3і»;ТзОВ «Довіра»;0322602324;;;;;;08:00-20:00;08:00-20:00;08:00-20:00;;
Галицький;Франка І.;84;«Аптека низьких цін»;ТОВ «Аптека низьких цін»;0322751916;;;;;;08:00-21:00;08:00-21:00;08:00-21:00;;
Галицький;Стрийська;1;«Соціальна аптека»;ПП «Аптека Аронія» ;0322320303;0322471513;;;;;08:00-22:00;08:00-22:00;08:00-22:00;;
Галицький;Тарнавського М., ген.;104б;Аптека «Аніка»;ПП «Аніка»;0322256297;;;;;;08:00-21:00;08:00-21:00;08:00-21:00;;
Галицький;Франка І.;87;Аптека «Демчук»;ПП «Демчук»;0322767288;;;;;;08:00-21:00;08:00-21:00;08:00-21:00;;
Галицький;Свободи просп.;33;Аптека D.S.;ТзОВ «Маркет Універсал ЛТД»;0322439393;;;;;;08:00-22:00;08:00-22:00;08:00-22:00;office@market-universal.com.ua;
Галицький;Тиктора І.;3;Аптека;ФОП Гром Н.Ю.;0322554462;;;;;;цілодобово;цілодобово;цілодобово;;
Галицький;Січових Стрільців;7;Аптека «Алтея»;ТзОВ Аптека «Алтея»;0800302060;;;;;;08:00-20:00;08:00-20:00;08:00-20:00;;
Галицький;Дорошенка П.;6;Аптека «Знахар»;ФОП Мокрий Т. М.;0322645337;;;;0674298614;;08:00-20:00;08:00-20:00;08:00-20:00;office@apteka-znahar.com.ua;
Галицький;Огієнка І.;20;Аптека «Сальве»;ТзОВ «Сальве-Львів»;0322426730;;;;;;цілодобово;цілодобово;цілодобово;;
Галицький;Огієнка І.;10;Аптека D.S.;ТзОВ «Ваша аптека»;0322326290;;;;;;08:00-21:00;08:00-21:00;08:00-21:00;office@market-universal.com.ua;
Галицький;Огієнка І.;20;Аптека «Копійка»;ТОВ «Аптека низьких цін»;0322553455;;;;;;08:00-21:00;08:00-21:00;08:00-21:00;;
Галицький;Кропивницького М. пл.;2;Аптека D.S.;ТзОВ «Ваша аптека»;0800302060;;;;;;08:00-21:00;08:00-21:00;09:00-18:00;;
Галицький;Коперника М.;54;Аптека, оптика;ПП «Фарм-сервіс»;0322403385;;;;;;цілодобово;цілодобово;цілодобово;;
Галицький;Словацького Ю.;2;Аптека D.S.;ТзОВ «Сервіс-нерухомість»;0800302060;;;;;;08:00-21:00;08:00-21:00;08:00-21:00;;
Галицький;Свободи просп.;5;«Сімейна аптека 24» ;;0322403085;0322975187;;;;;08:00-21:00;08:00-21:00;08:00-21:00;office@sa.lviv.ua ;dovidka@sa.lviv.ua
Галицький;Бандери С.;15;Аптека «Пульс»;ТзОВ «Декада-2000»;0322444016;;;;;;08:00-22:00;08:00-22:00;10:00-20:00;;
Галицький;Хмельницького Б.;10;«Аптека низьких цін»;ФОП Халіна Н.Ю., ФОП Панахид М.П.;0322557498;;;;;;08:00-21:00;08:00-21:00;08:00-21:00;;
Галицький;Галицька;19;Аптека D.S.;ТзОВ «Сервіс-нерухомість»;0322354760;;;;;;09:30-21:30;09:30-21:00;09:30-20:00;;
Галицький;Друкарська;2;Аптека «Під Чорним орлом»;ДКАП Аптека ««Під Чорним орлом»;0322357041;;;;;;09:00-19:00;10:00-18:00;10:00-18:00;apteka_museum@ukr.net;
Галицький;Краківська;26;Аптека «Аптека під срібним орлом»;ТзОВ Аптека «Аптека під срібним орлом»;0322356249;;;;;;09:00-19:00;10:00-18:00;10:00-18:00;;
Галицький;Личаківська;1;«Аптека матері і дитини»;ТзОВ «Аптека матері і дитини»;0322765557;;;;;;08:00-19:00;09:00-19:00;09:00-16:00;;
Галицький;Сербська;8;Аптека «Верес»;ПП «Кутасевич і син»;0322354905;;;;;;08:00-19:00;09:00-19:00;09:00-16:00;;
Галицький;Соборна пл.;1;Аптека D.S.;ФОП Опришко А.С.;0322439393;;;;;;цілодобово;цілодобово;цілодобово;apteka30@market-unaversal.соm.ua ;apteka30@market-unaversal.соm.ua
Галицький;Хмельницького Б.;1;Аптека «Знахар»;ТзОВ «Візард-Л»;0322975546;;;;;;08:00-21:00;08:00-21:00;08:00-21:00;;
Галицький;Хмельницького Б.;1;Аптека D.S.;ФОП Блащак ;0800302060;0322326290 ;;;;;08:00-21:00;08:00-20:00;09:00-19:00;;
Галицький;Балабана М.;2;Аптека «Рецептика»;ФОП Сорока Ю.М.;0322550665;;;;;;08:00-21:00;08:00-21:00;08:00-21:00;zakaz@ikwell.dp.ua;
Галицький;Котлярська;4;Ветеринарна аптека;ФОП Вигриновський М.І.;;;;;0632696190;;09:00-19:00;09:00-18:00;вихідний;invesa.fediv@gmail.com;
Галицький;Князя Мстислава Удатного;5;«Аптека 24»;ФОП Павленко С.О.;;;;;0983073315;;09:00-19:00;09:00-18:00;вихідний;;
Галицький;Під Дубом;8;Аптека «3і»;ТзОВ «Довіра»;0322971823;0322358221;;;;;08:00-20:00;08:00-20:00;08:00-20:00;;
Галицький;Раппопорта С.;1;«Аптека низьких цін»;ФОП Ясниська Л.Р.;;;;;0965099108;;08:00-21:00;08:00-21:00;08:00-21:00;;
Галицький;Святого Теодора пл.;3;Аптека «Нерей»;ТзОВ «Нерей-Л«;0322721801 ;;;;;;08:00-21:00;08:00-21:00;08:00-21:00;;
Галицький;Шпитальна;30;Аптека D.S.;ТзОВ «Сервіс-нерухомість»;0322326290;;;;;;08:00-21:00;08:00-20:00;09:00-19:00;;
Галицький;Шпитальна;32;«Сімейна аптека»;ФОП Гаврилюк Л.В.;0322471516;;;;0962210841   ;;09:00-22:00;09:00-22:00;09:00-22:00;office@sa.lviv.ua;
Галицький;Шпитальна;8;«Аптека низьких цін»;ФОП Рибак В.М.;0322553224;;;;0676712654;;08:00-20:00;08:00-20:00;08:00-20:00;;
Залізничний;Виговського І.;3;Аптека «Подорожник»;ПП «Соломія-Сервіс»;0322626328;;;;0675558431;;08:00-21:00;08:00-20:00;08:00-20:00;lvl@diklz.gov.ua;
Залізничний;Виговського І.;29а;Аптека «Знахар»;ТзОВ «Візард-Л»;0322622167;;;;0677123913;;08:00-21:00;08:00-21:00;08:00-18:00;berlin.bogdana@gmail.com;
Залізничний;Виговського І.;29а;«Едельвейс. Аптека. Оптика. Медтехніка»;ТОВ «Аптека №31«;0322976161;0322976100;;;;;09:00-20:00;09:00-18:00;вихідний;prices.apteka31@gmail.com;
Залізничний;Виговського І.;32;Аптека «Подорожник»;ТзОВ «Повноділ»;;;;;0673251170;;08:00-20:00;08:00-20:00;09:00-19:00;;
